sequence.start,Desorb.Start.Time,CreationTime,eithertime,status,Tube,markes_n,GC_n,either_n,markes_GC,create_desorb,verdict,FileName,sample,user,FullName,id,fuzzy_n,desorb.Start.diff,rowSum,nameBlank,Mixup,kBlank,Cluster
2018-08-20T08:33:56Z,2018-08-21T02:36:02Z,2018-08-21T02:45:58Z,2018-08-21T02:36:02Z,Desorbed NA,19,19,NA,19,NA,596,NA,BellNFlr44Aug18_08202018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr44Aug18_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,1,2227,100185167,FALSE,TRUE,TRUE,2
2018-08-20T08:33:56Z,2018-08-21T12:52:26Z,NA,2018-08-21T12:52:26Z,Leak-test failure High Pressure Leak Failure,20,20,NA,20,NA,NA,NA,NA,NA,NA,NA,d411aaf6-db84-426d-a90c-107814d8bc4a,1,36984,NA,NA,NA,NA,NA
2018-08-21T16:05:06Z,2018-08-21T23:08:50Z,2018-08-21T23:09:34Z,2018-08-21T23:08:50Z,Desorbed NA,1,1,NA,1,NA,44,NA,Blank_08212018.qgd,NA,Blank,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/Blank_08212018.qgd,2e43b46b-71c5-4665-8059-da737c3a4a10,1,36984,164567224,TRUE,FALSE,TRUE,2
2018-08-21T16:05:06Z,2018-08-21T23:39:15Z,2018-08-21T23:49:24Z,2018-08-21T23:39:15Z,Desorbed NA,2,2,NA,2,NA,609,NA,BellNFlr45Aug18retry_08212018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr45Aug18retry_08212018.qgd,2e43b46b-71c5-4665-8059-da737c3a4a10,1,1825,118894078,FALSE,TRUE,TRUE,2
2018-08-21T16:05:06Z,2018-08-22T00:15:17Z,2018-08-22T00:25:28Z,2018-08-22T00:15:17Z,Desorbed NA,3,3,NA,3,NA,611,NA,BellNFlr46Aug18_08212018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr46Aug18_08212018.qgd,2e43b46b-71c5-4665-8059-da737c3a4a10,1,2162,90780177,FALSE,TRUE,TRUE,2
2018-08-21T16:05:06Z,2018-08-22T00:51:25Z,2018-08-22T01:01:27Z,2018-08-22T00:51:25Z,Desorbed NA,4,4,NA,4,NA,602,NA,BellNFlr48Aug18_08212018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr48Aug18_08212018.qgd,2e43b46b-71c5-4665-8059-da737c3a4a10,1,2168,86904735,FALSE,TRUE,TRUE,2
2018-08-21T16:05:06Z,2018-08-22T01:27:17Z,2018-08-22T01:37:25Z,2018-08-22T01:27:17Z,Desorbed NA,5,5,NA,5,NA,608,NA,BellNBeetleAug18_08212018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNBeetleAug18_08212018.qgd,2e43b46b-71c5-4665-8059-da737c3a4a10,1,2152,99748572,FALSE,TRUE,TRUE,2
NA,NA,2018-08-21T03:23:20Z,2018-08-21T03:23:20Z,NA NA,NA,NA,NA,NA,NA,NA,NA,BellNFlr45Aug18_08202018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr45Aug18_08202018.qgd,NA,NA,NA,31353899,FALSE,TRUE,TRUE,2
2019-08-28T08:45:49Z,2019-08-28T15:50:42Z,2019-08-28T15:44:38Z,2019-08-28T15:44:38Z,Desorbed NA,1,1,NA,1,NA,364,NA,Blank_08282019.qgd,NA,Blank,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/Blank_08282019.qgd,cffb1e93-951d-4d26-a300-f7e37b497793,1,36767,227880126,TRUE,FALSE,TRUE,6
2019-08-28T08:45:49Z,2019-08-28T16:21:05Z,2019-08-28T16:26:24Z,2019-08-28T16:21:05Z,Desorbed NA,2,2,NA,2,NA,319,NA,ERB1_08282019.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/ERB1_08282019.qgd,cffb1e93-951d-4d26-a300-f7e37b497793,1,1823,295391244,FALSE,TRUE,TRUE,6
2019-08-28T08:45:49Z,2019-08-28T16:56:35Z,2019-08-28T17:01:51Z,2019-08-28T16:56:35Z,Desorbed NA,3,3,NA,3,NA,316,NA,ERB2_08282019.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/ERB2_08282019.qgd,cffb1e93-951d-4d26-a300-f7e37b497793,1,2130,317139516,FALSE,TRUE,TRUE,6
