index	FileName	fn1	fn2	fn3	fn4	fn5	fn6	fn7	fn8	sample	rowSum	Cluster	redos	type	pop	sample_year	plant	scented	rundate	GCn	renamed
	mex1_08292019am.qgd	mex1	08292019am	qgd							483191873	1		floral	mex	19	1	1	8292019		
	mex2_08292019am.qgd	mex2	08292019am	qgd							259384898	2		floral	mex	19	2	0	8292019		
	mex3_08292019am.qgd	mex3	08292019am	qgd							259924784	2		floral	mex	19	3	0	8292019		
	mex4_08292019am.qgd	mex4	08292019am	qgd							324823774	1		floral	mex	19	4	1	8292019		
	mex5_08292019am.qgd	mex5	08292019am	qgd							265272271	1		floral	mex	19	5	0	8292019		
	Blank_08292019pm.qgd	Blank	08292019pm	qgd							242002830	2		blank		19			8292019		
	mex6_08292019pm.qgd	mex6	08292019pm	qgd							354287880	1		floral	mex	19	6	1	8292019		
	mexair1_08292019pm.qgd	mexair1	08292019pm	qgd							288025723	1		ambient	mex	19	1		8292019		
	lerbair2_08292019pm.qgd	lerbair2	08292019pm	qgd							274158413	2		ambient	lerb	19	1		8292019		
	lerb4_08292019pm.qgd	lerb4	08292019pm	qgd							332622001	1		floral	lerb	19	4	0	8292019		
	lerb5_08292019pm.qgd	lerb5	08292019pm	qgd							262785818	1		floral	lerb	19	5	0	8292019		
	lerb6_08292019pm.qgd	lerb6	08292019pm	qgd							255709571	2		floral	lerb	19	6	0	8292019		
	bwbair1_08292019pm.qgd	bwbair1	08292019pm	qgd							271477558	2		ambient	bwb	19	1		8292019		
	bwb1_08292019pm.qgd	bwb1	08292019pm	qgd							291514775	1		floral	bwb	19	1	1	8292019		
	bwb2_08292019pm.qgd	bwb2	08292019pm	qgd							304321883	1		floral	bwb	19	2	0	8292019		
	bwb3_08292019pm.qgd	bwb3	08292019pm	qgd							239426444	1		floral	bwb	19	3	1	8292019		
	bwb4_08292019pm.qgd	bwb4	08292019pm	qgd							318845035	1		floral	bwb	19	4	1	8292019		
	bwb5_08292019pm.qgd	bwb5	08292019pm	qgd							330860206	1		floral	bwb	19	5	0	8292019		
	bwb6_08292019pm.qgd	bwb6	08292019pm	qgd							297309929	1		floral	bwb	19	6	1	8292019		
	bwb7_08292019pm.qgd	bwb7	08292019pm	qgd							263156477	1		floral	bwb	19	7	1	8292019		
	bwb8_08292019pm.qgd	bwb8	08292019pm	qgd							302370518	1		floral	bwb	19	8	1	8292019		
	bwb9_08292019pm.qgd	bwb9	08292019pm	qgd							396153179	1		floral	bwb	19	9	1	8292019		
	ypoair1_08292019pm.qgd	ypoair1	08292019pm	qgd							242157896	2		ambient	ypo	19	1		8292019		
	ypo1_08292019pm.qgd	ypo1	08292019pm	qgd							394428526	1		floral	ypo	19	1	1	8292019		
	ypo2_08292019pm.qgd	ypo2	08292019pm	qgd							392646303	1		floral	ypo	19	2	1	8292019		
	Blank_08302019am.qgd	Blank	08302019am	qgd							246690357	2		blank		19			8302019		
	ypo3_08302019am.qgd	ypo3	08302019am	qgd							297949654	1		floral	ypo	19	3	1	8302019		
	ypo4_08302019am.qgd	ypo4	08302019am	qgd							284409424	1		floral	ypo	19	4	1	8302019		
	bcnair1_08302019am.qgd	bcnair1	08302019am	qgd							270804103	2		ambient	bcn	19	1		8302019		
	bcn1_08302019am.qgd	bcn1	08302019am	qgd							420456762	1		floral	bcn	19	1	1	8302019		
	bcn2_08302019am.qgd	bcn2	08302019am	qgd							382512685	1		floral	bcn	19	2	1	8302019		
	bcn3_08302019am.qgd	bcn3	08302019am	qgd							297340857	1		floral	bcn	19	3	0	8302019		
	bcn4_08302019am.qgd	bcn4	08302019am	qgd							292909505	1		floral	bcn	19	4	1	8302019		
	cmnair1_08302019am.qgd	cmnair1	08302019am	qgd							338156727	1		ambient	cmn	19	1		8302019		
	cmn1_08302019am.qgd	cmn1	08302019am	qgd							388759760	1		floral	cmn	19	1	1	8302019		
